URL,TITLE,PRICE PER MONTH
https://www.pararius.com/apartment-for-rent/amsterdam/7d6f12d2/eerste-jan-van-der-heijdenstraat,Flat Eerste Jan van der Heijdenstraat 126 H,2950
https://www.pararius.com/apartment-for-rent/amsterdam/9d07801b/van-breestraat,Flat Van Breestraat 191 H,12500
https://www.pararius.com/apartment-for-rent/amsterdam/768cbd17/nieuwe-keizersgracht,Flat Nieuwe Keizersgracht,2350
https://www.pararius.com/apartment-for-rent/amsterdam/e6211d59/overtoom,Flat Overtoom,2000
https://www.pararius.com/apartment-for-rent/amsterdam/273be3a7/warmoesstraat,Flat Warmoesstraat,1800
https://www.pararius.com/apartment-for-rent/amsterdam/a0854a77/oudezijds-achterburgwal,Flat Oudezijds Achterburgwal,2250
https://www.pararius.com/apartment-for-rent/amsterdam/4adb3d4a/overtoom,Flat Overtoom,2050
https://www.pararius.com/apartment-for-rent/amsterdam/6e78ba9c/maagdenpalmstraat,Flat Maagdenpalmstraat,2850
https://www.pararius.com/apartment-for-rent/amsterdam/334a27b7/ridderspoorweg,Flat Ridderspoorweg,1850
https://www.pararius.com/apartment-for-rent/amsterdam/d1feca53/marnixstraat,Flat Marnixstraat,2090
https://www.pararius.com/apartment-for-rent/amsterdam/694d388b/spuistraat,Flat Spuistraat,2300
https://www.pararius.com/apartment-for-rent/amsterdam/3c3833a9/generaal-vetterstraat,Flat Generaal Vetterstraat,2650
https://www.pararius.com/apartment-for-rent/amsterdam/2201c745/hoofddorpplein,Flat Hoofddorpplein,2250
https://www.pararius.com/apartment-for-rent/amsterdam/5c410ea7/amstelveenseweg,Flat Amstelveenseweg,3350
https://www.pararius.com/apartment-for-rent/amsterdam/e4e9b3d5/van-ollefenstraat,Flat Van Ollefenstraat,1650
https://www.pararius.com/apartment-for-rent/amsterdam/f1d7803d/derde-oosterparkstraat,Flat Derde Oosterparkstraat 70 1,1900
https://www.pararius.com/apartment-for-rent/amsterdam/3c8b0648/westlandgracht,Flat Westlandgracht,1850
https://www.pararius.com/apartment-for-rent/amsterdam/85d55bbc/keizersgracht,Flat Keizersgracht 138 F,3500
https://www.pararius.com/house-for-rent/amsterdam/670de2f8/cannenburg,House Cannenburg,7500
https://www.pararius.com/apartment-for-rent/amsterdam/0ab79db9/vondelstraat,Flat Vondelstraat,2400
https://www.pararius.com/studio-for-rent/amsterdam/5e99da71/bolestein,Studio Bolestein 546,1700
https://www.pararius.com/en/project/amsterdam/739562fd/the-bow/2-kamer-appartement,,1.080 - 1.530
https://www.pararius.com/en/project/amsterdam/9ccb8ddb/the-bow/3-kamer-appartement,,1.565 - 2.245
https://www.pararius.com/en/project/amsterdam/412d5889/the-bow/4-kamer-appartement,,1.810 - 1.940
https://www.pararius.com/apartment-for-rent/amsterdam/4cf697c0/omval,Flat Omval 42,2400
https://www.pararius.com/apartment-for-rent/amsterdam/cf88b101/brouwersgracht,Flat Brouwersgracht 6 B,2450
https://www.pararius.com/apartment-for-rent/amsterdam/3c18304a/brouwersgracht,Flat Brouwersgracht 248 A,2050
https://www.pararius.com/apartment-for-rent/amsterdam/12c37395/bankastraat,Flat Bankastraat,2100
https://www.pararius.com/apartment-for-rent/amsterdam/1c2ee164/schipluidenlaan,Flat Schipluidenlaan 32,1490
https://www.pararius.com/apartment-for-rent/amsterdam/8c469681/lucellestraat,Flat Lucellestraat,2100
https://www.pararius.com/apartment-for-rent/amsterdam/e781fe43/ruysdaelstraat,Flat Ruysdaelstraat 97 4,2450
https://www.pararius.com/apartment-for-rent/amsterdam/1f92d9eb/tweede-jan-steenstraat,Flat Tweede Jan Steenstraat,2250
https://www.pararius.com/apartment-for-rent/amsterdam/9d07801b/van-breestraat,Flat Van Breestraat 191 H,12500
https://www.pararius.com/apartment-for-rent/amsterdam/74de917f/bilderdijkkade,Flat Bilderdijkkade 50 D5,3350
https://www.pararius.com/apartment-for-rent/amsterdam/3457b358/amstelkade,Flat Amstelkade 142 3,2075
https://www.pararius.com/apartment-for-rent/amsterdam/3a06e35c/henrick-de-keijserplein,Flat Henrick de Keijserplein,2950
https://www.pararius.com/apartment-for-rent/amsterdam/c4dcd02d/schinkelkade,Flat Schinkelkade 67 D 5,1525
https://www.pararius.com/apartment-for-rent/amsterdam/cdd87aa4/vaartstraat,Flat Vaartstraat 36 2,1900
